therapy_label,disease_label,drug_label,raw_text,geneProtein_label,metastatic,firstLine,acceleratedApproval,negGeProDr_label
Durvalumab,non-small cell lung cancer,"IMFINZI- durvalumab injection, solution","

•

IMFINZI in combination with platinum-containing chemotherapy as neoadjuvant treatment, followed by IMFINZI continued as a single agent as adjuvant treatment after surgery, is indicated for the treatment of adult patients with resectable (tumors ≥ 4 cm and/or node positive) non-small cell lung cancer (NSCLC) and no known epidermal growth factor receptor (EGFR) mutations or anaplastic lymphoma kinase (ALK) rearrangements.

•
IMFINZI, as a single agent, is indicated for the treatment of adult patients with unresectable Stage III NSCLC whose disease has not progressed following concurrent platinum-based chemotherapy and radiation therapy (cCRT).
•
IMFINZI, in combination with tremelimumab-actl and platinum-based chemotherapy, is indicated for the treatment of adult patients with metastatic NSCLC with no sensitizing EGFR mutations or ALK genomic tumor aberrations.","EGFR, ALK, epidermal growth factor receptor, IMFINZI",Yes,,,
Durvalumab,endometrial cancer,"IMFINZI- durvalumab injection, solution","
IMFINZI, in combination with carboplatin and paclitaxel followed by IMFINZI as a single agent, is indicated for the treatment of adult patients with primary advanced or recurrent endometrial cancer that is mismatch repair deficient (dMMR) as determined by an FDA-approved test [see Dosage and Administration (2.1)].",IMFINZI,Yes,,,
Durvalumab,biliary tract cancer,"IMFINZI- durvalumab injection, solution","
IMFINZI, in combination with gemcitabine and cisplatin, is indicated for the treatment of adult patients with locally advanced or metastatic biliary tract cancer (BTC).",IMFINZI,Yes,,,
Durvalumab,small cell lung cancer,"IMFINZI- durvalumab injection, solution","

•

IMFINZI in combination with platinum-containing chemotherapy as neoadjuvant treatment, followed by IMFINZI continued as a single agent as adjuvant treatment after surgery, is indicated for the treatment of adult patients with resectable (tumors ≥ 4 cm and/or node positive) non-small cell lung cancer (NSCLC) and no known epidermal growth factor receptor (EGFR) mutations or anaplastic lymphoma kinase (ALK) rearrangements.

•
IMFINZI, as a single agent, is indicated for the treatment of adult patients with unresectable Stage III NSCLC whose disease has not progressed following concurrent platinum-based chemotherapy and radiation therapy (cCRT).
•
IMFINZI, in combination with tremelimumab-actl and platinum-based chemotherapy, is indicated for the treatment of adult patients with metastatic NSCLC with no sensitizing EGFR mutations or ALK genomic tumor aberrations.

 


1.2 Small Cell Lung Cancer 

•

IMFINZI, as a single agent, is indicated for the treatment of adult patients with limited-stage small cell lung cancer (LS-SCLC) whose disease has not progressed following concurrent platinum-based chemotherapy and radiation therapy (cCRT).

•
IMFINZI, in combination with etoposide and either carboplatin or cisplatin, is indicated for the first-line treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC).","EGFR, ALK, epidermal growth factor receptor, IMFINZI",Yes,Yes,,
Imiquimod,Genital warts or perianal warts,,,*,,,,
Imiquimod,Basal cell carcinoma,,,*,,,,
Imiquimod,Actinic keratosis,,,*,,,,
Tremelimumab-actl,Hepatocellular carcinoma,"IMJUDO- tremelimumab injection, solution","
IMJUDO, in combination with durvalumab, is indicated for the treatment of adult patients with unresectable hepatocellular carcinoma (uHCC).",*,,,,
Tremelimumab-actl,Non-small cell lung cancer,"IMJUDO- tremelimumab injection, solution","
IMJUDO, in combination with durvalumab and platinum-based chemotherapy, is indicated for the treatment of adult patients with metastatic NSCLC with no sensitizing epidermal growth factor receptor (EGFR) mutations or anaplastic lymphoma kinase (ALK) genomic tumor aberrations.","EGFR, ALK, epidermal growth factor receptor",Yes,,,
Imatinib Mesylate,Systemic mastocytosis,GLEEVEC- imatinib mesylate tablet,"
Adult patients with aggressive systemic mastocytosis without the D816V c-Kit mutation or with c-Kit mutational status unknown.",c-Kit,,,,
Imatinib Mesylate,hypereosinophilic syndrome,GLEEVEC- imatinib mesylate tablet,"
Adult patients with hypereosinophilic syndrome and/or chronic eosinophilic leukemia who have the FIP1L1-PDGFRα fusion kinase (mutational analysis or fluorescence in situ hybridization [FISH] demonstration of CHIC2 allele deletion) and for patients with HES and/or CEL who are FIP1L1-PDGFRα fusion kinase negative or unknown.","CHIC2, FIP1L1-PDGFRα, HES, FIP1L1-PDGFRα fusion kinase",,,,
Imatinib Mesylate,Myelodysplastic/myeloproliferative neoplasms,GLEEVEC- imatinib mesylate tablet,,*,,,,
Imatinib Mesylate,Gastrointestinal stromal tumor,GLEEVEC- imatinib mesylate tablet,"
Patients with Kit (CD117) positive unresectable and/or metastatic malignant gastrointestinal stromal tumors.",CD117,Yes,,,
Imatinib Mesylate,Chronic myelogenous leukemia,GLEEVEC- imatinib mesylate tablet,,*,,,,
Imatinib Mesylate,Dermatofibrosarcoma protuberans,GLEEVEC- imatinib mesylate tablet,"
Adult patients with unresectable, recurrent and/or metastatic dermatofibrosarcoma protuberans.",*,Yes,,,
Imatinib Mesylate,Chronic eosinophilic leukemia,GLEEVEC- imatinib mesylate tablet,"
Adult patients with hypereosinophilic syndrome and/or chronic eosinophilic leukemia who have the FIP1L1-PDGFRα fusion kinase (mutational analysis or fluorescence in situ hybridization [FISH] demonstration of CHIC2 allele deletion) and for patients with HES and/or CEL who are FIP1L1-PDGFRα fusion kinase negative or unknown.","CHIC2, FIP1L1-PDGFRα, HES, FIP1L1-PDGFRα fusion kinase",,,,
Imatinib Mesylate,Acute lymphoblastic leukemia,GLEEVEC- imatinib mesylate tablet,"
Adult patients with relapsed or refractory Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ ALL).
 


1.4
								     
								Pediatric Patients With Ph+ Acute Lymphoblastic Leukemia (ALL)
Pediatric patients with newly diagnosed Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ ALL) in combination with chemotherapy.",Philadelphia,,,,
Talimogene Laherparepvec,Melanoma,"IMLYGIC- talimogene laherparepvec injection, suspension",,*,,,,
Inavolisib,breast cancer,"ITOVEBI- inavolisib tablet, film coated",,*,,,,
Gemcitabine Hydrochloride,Pancreatic cancer,,,*,,,,
Gemcitabine Hydrochloride,Ovarian cancer,,,*,,,,
Gemcitabine Hydrochloride,Breast cancer,,,*,,,,
Gemcitabine Hydrochloride,Non-small cell lung cancer,,,*,,,,
Gemcitabine Hydrochloride,Pancreatic cancer,,,*,,,,
Gemcitabine Hydrochloride,Ovarian cancer,,,*,,,,
Gemcitabine Hydrochloride,Breast cancer,,,*,,,,
Gemcitabine Hydrochloride,Non-small cell lung cancer,,,*,,,,
Axitinib,Renal cell carcinoma,,,*,,,,
Inotuzumab Ozogamicin,B-cell acute lymphoblastic leukemia,"BESPONSA- inotuzumab ozogamicin injection, powder, lyophilized, for solution",,*,,,,
Decitabine and Cedazuridine,Myelodysplastic syndromes,"INQOVI- cedazuridine and decitabine tablet, film coated",,*,,,,
Fedratinib Hydrochloride,Myelofibrosis,INREBIC- fedratinib hydrochloride capsule,,*,,,,
Recombinant Interferon Alfa-2b,Hairy cell leukemia,,,*,,,,
Recombinant Interferon Alfa-2b,Melanoma,,,*,,,,
Recombinant Interferon Alfa-2b,Follicular lymphoma,,,*,,,,
Recombinant Interferon Alfa-2b,Genital warts,,,*,,,,
Recombinant Interferon Alfa-2b,AIDS-related Kaposi sarcoma,,,*,,,,
Aldesleukin,Renal cell carcinoma,"PROLEUKIN- aldesleukin injection, powder, lyophilized, for solution",,*,,,,
Aldesleukin,Melanoma,"PROLEUKIN- aldesleukin injection, powder, lyophilized, for solution",,*,,,,
Recombinant Interferon Alfa-2b,Hairy cell leukemia,,,*,,,,
Recombinant Interferon Alfa-2b,Melanoma,,,*,,,,
Recombinant Interferon Alfa-2b,Follicular lymphoma,,,*,,,,
Recombinant Interferon Alfa-2b,Genital warts,,,*,,,,
Recombinant Interferon Alfa-2b,AIDS-related Kaposi sarcoma,,,*,,,,
Iobenguane I 131,Pheochromocytoma,,,*,,,,
Iobenguane I 131,paraganglioma,,,*,,,,
Ipilimumab,hepatocellular carcinoma,YERVOY- ipilimumab injection,"

•
YERVOY, in combination with nivolumab, is indicated for the first-line treatment of adult patients with unresectable or metastatic hepatocellular carcinoma (HCC).
•

YERVOY, in combination with nivolumab, is indicated for the treatment of adult patients with unresectable or metastatic HCC who have been previously treated with sorafenib.",*,Yes,Yes,,
Ipilimumab,non-small cell lung cancer,YERVOY- ipilimumab injection,"
YERVOY, in combination with nivolumab, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1 (≥1%) as determined by an FDA-approved test [see Dosage and Administration (2.1)], with no EGFR or ALK genomic tumor aberrations.
YERVOY, in combination with nivolumab and 2 cycles of platinum-doublet chemotherapy, is indicated for the first-line treatment of adult patients with metastatic or recurrent NSCLC, with no EGFR or ALK genomic tumor aberrations.","EGFR, ALK, PD-L1",Yes,Yes,,
Ipilimumab,melanoma,YERVOY- ipilimumab injection,"
YERVOY, as a single agent or in combination with nivolumab, is indicated for the treatment of unresectable or metastatic melanoma in adult and pediatric patients 12 years and older.
 


1.2 Adjuvant Treatment of Melanoma 
YERVOY is indicated for the adjuvant treatment of adult patients with cutaneous melanoma with pathologic involvement of regional lymph nodes of more than 1 mm who have undergone complete resection, including total lymphadenectomy.",*,Yes,,,
Ipilimumab,colorectal cancer,YERVOY- ipilimumab injection,"

•
YERVOY, in combination with nivolumab, is indicated for the treatment of adult and pediatric patients 12 years and older with unresectable or metastatic microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) colorectal cancer (CRC).",*,Yes,,,
Ipilimumab,renal cell carcinoma,YERVOY- ipilimumab injection,"
YERVOY, in combination with nivolumab, is indicated for the first-line treatment of adult patients with intermediate or poor risk advanced renal cell carcinoma (RCC).",*,Yes,Yes,,
Ipilimumab,malignant pleural mesothelioma,YERVOY- ipilimumab injection,"
YERVOY, in combination with nivolumab, is indicated for the first-line treatment of adult patients with unresectable malignant pleural mesothelioma.",*,,Yes,,
Ipilimumab,esophageal cancer,YERVOY- ipilimumab injection,"
YERVOY, in combination with nivolumab, is indicated for the first-line treatment of adult patients with unresectable advanced or metastatic esophageal squamous cell carcinoma (ESCC) whose tumors express PD-L1 (≥1) [see Dosage and Administration (2.1)].",PD-L1,Yes,Yes,,
Gefitinib,Non-small cell lung cancer,"IRESSA- gefitinib tablet, coated",,*,,,,
Irinotecan Hydrochloride,Colorectal cancer,,,*,,,,
Irinotecan Sucrosofate,Pancreatic cancer,"ONIVYDE- irinotecan hydrochloride injection, powder, for solution",,*,,,,
Isatuximab-irfc,multiple myeloma,"SARCLISA- isatuximab injection, solution, concentrate",,*,,,,
Romidepsin,Cutaneous T-cell lymphoma,,,*,,,,
Inavolisib,breast cancer,"ITOVEBI- inavolisib tablet, film coated",,*,,,,
Ivosidenib,Cholangiocarcinoma,,,*,,,,
Ivosidenib,Myelodysplastic syndrome,,,*,,,,
Ivosidenib,Acute myeloid leukemia,,,*,,,,
Eflornithine Hydrochloride,Neuroblastoma,IWILFIN- eflornithine hydrochloride tablet,,*,,,,
Ixabepilone,Breast cancer,IXEMPRA- ixabepilone kit,,*,,,,
Ixazomib Citrate,Multiple myeloma,,,*,,,,
Ixabepilone,Breast cancer,IXEMPRA- ixabepilone kit,,*,,,,
Ruxolitinib Phosphate,myelofibrosis,JAKAFI- ruxolitinib tablet,"
Jakafi is indicated for treatment of intermediate or high-risk myelofibrosis (MF), including primary MF, post-polycythemia vera MF and post-essential thrombocythemia MF in adults.",MF,,,,
Ruxolitinib Phosphate,polycythemia vera,JAKAFI- ruxolitinib tablet,"
Jakafi is indicated for treatment of polycythemia vera (PV) in adults who have had an inadequate response to or are intolerant of hydroxyurea.",*,,,,
Pirtobrutinib,Mantle cell lymphoma,"JAYPIRCA- pirtobrutinib tablet, coated","
JAYPIRCA® is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL) after at least two lines of systemic therapy, including a BTK inhibitor.

This indication is approved under accelerated approval based on response rate [see Clinical Studies (14.1)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial.",BTK,,,Yes,
Pirtobrutinib,Chronic lymphocytic leukemia  or small lymphocytic lymphoma,"JAYPIRCA- pirtobrutinib tablet, coated",,*,,,,
Mitomycin,Urothelial cancer,,,*,,,,
Mitomycin,Gastric (stomach) and pancreatic adenocarcinoma,,,*,,,,
Dostarlimab-gxly,endometrial cancer,JEMPERLI- dostarlimab injection,"
JEMPERLI, in combination with carboplatin and paclitaxel, followed by JEMPERLI as a single agent, is indicated for the treatment of adult patients with primary advanced or recurrent endometrial cancer (EC).
JEMPERLI, as a single agent, is indicated for the treatment of adult patients with mismatch repair deficient (dMMR) recurrent or advanced EC, as determined by an FDA-approved test, that has progressed on or following prior treatment with a platinum-containing regimen in any setting and are not candidates for curative surgery or radiation [see Dosage and Administration (2.1)].",*,Yes,,,
Dostarlimab-gxly,solid tumors,JEMPERLI- dostarlimab injection,"
JEMPERLI, as a single agent, is indicated for the treatment of adult patients with dMMR recurrent or advanced solid tumors, as determined by an FDA-approved test, that have progressed on or following prior treatment and who have no satisfactory alternative treatment options [see Dosage and Administration (2.1)]. This indication is approved under accelerated approval based on tumor response rate and durability of response [see Clinical Studies (14.2)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s).",*,Yes,,Yes,
Cabazitaxel,Prostate cancer,JEVTANA- cabazitaxel kit,,*,,,,
Ado-Trastuzumab Emtansine,Breast cancer,"KADCYLA- ado-trastuzumab emtansine injection, powder, lyophilized, for solution","
KADCYLA®, as a single agent, is indicated for the treatment of patients with HER2-positive, metastatic breast cancer who previously received trastuzumab and a taxane, separately or in combination. Patients should have either:

Received prior therapy for metastatic disease, or
Developed disease recurrence during or within six months of completing adjuvant therapy.

Select patients for therapy based on an FDA-authorized test for KADCYLA [see Dosage and Administration (2.1)].
 


1.2 Early Breast Cancer (EBC) 
KADCYLA, as a single agent, is indicated for the adjuvant treatment of patients with HER2-positive early breast cancer who have residual invasive disease after neoadjuvant taxane and trastuzumab -based treatment.
Select patients for therapy based on an FDA-authorized test for KADCYLA [see Dosage and Administration (2.1)].",*,Yes,,,
Palifermin,Oral mucositis,"KEPIVANCE- palifermin injection, powder, lyophilized, for solution",,*,,,,
Pembrolizumab,Hepatocellular carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","
KEYTRUDA is indicated for the treatment of patients with hepatocellular carcinoma (HCC) secondary to hepatitis B who have received prior systemic therapy other than a PD-1/PD-L1-containing regimen.",*,,,,
Pembrolizumab,Classic Hodgkin lymphoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",,*,,,,
Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","
									KEYTRUDA, in combination with pemetrexed and platinum chemotherapy, is indicated for the first-line treatment of patients with metastatic nonsquamous non-small cell lung cancer (NSCLC), with no EGFR or ALK genomic tumor aberrations. 								
									KEYTRUDA, in combination with carboplatin and either paclitaxel or paclitaxel protein-bound, is indicated for the first-line treatment of patients with metastatic squamous NSCLC. 								
KEYTRUDA, as a single agent, is indicated for the first-line treatment of patients with NSCLC expressing PD-L1 [Tumor Proportion Score (TPS) ≥1%] as determined by an FDA-authorized test [see Dosage and Administration (2.1)], with no EGFR or ALK genomic tumor aberrations, and is:
								

Stage III where patients are not candidates for surgical resection or definitive chemoradiation, or
									
metastatic.
									

KEYTRUDA, as a single agent, is indicated for the treatment of patients with metastatic NSCLC whose tumors express PD-L1 (TPS ≥1%) as determined by an FDA-authorized test [see Dosage and Administration (2.1)], with disease progression on or after platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for these aberrations prior to receiving KEYTRUDA.
KEYTRUDA is indicated for the treatment of patients with resectable (tumors ≥4 cm or node positive) NSCLC in combination with platinum-containing chemotherapy as neoadjuvant treatment, and then continued as a single agent as adjuvant treatment after surgery.
KEYTRUDA, as a single agent, is indicated as adjuvant treatment following resection and platinum-based chemotherapy for adult patients with Stage IB (T2a ≥4 cm), II, or IIIA NSCLC.","EGFR, ALK, PD-L1",Yes,Yes,,
